Date Checked,Role,Organisation,Link
26/9/20,Community Visitor - Carlton,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/31506/community-visitor-carlton
26/9/20,Community Visitors - Richmond,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/31511/community-visitors-richmond
26/9/20,Community Visitor - St Kilda,Office of the Public Advocate,https://www.volunteer.com.au/volunteering/36209/community-visitor-st-kilda
26/9/20,Volunteer Grant Writer and Fundraising Officer (Not-for-Profit &amp; Charity Organisation),Office of the Public Advocate,https://www.volunteer.com.au/volunteering/151845/volunteer-grant-writer-and-fundraising-officer-not-for-profit-charity-organisation-
26/9/20,Volunteer Agile Business Analyst (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151832/volunteer-agile-business-analyst-not-for-profit-charity-organisation-
26/9/20,Youth Mentors | Yarra,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/126485/youth-mentors-yarra
26/9/20,Volunteer Appointment Setter and Administration Officer (Not-for-Profit &amp; Charity Organisation),Uniting (Victoria And Tasmania),https://www.volunteer.com.au/volunteering/151822/volunteer-appointment-setter-and-administration-officer-not-for-profit-charity-organisation-
26/9/20,Volunteer Client Services Manager &amp; Coordinator&#x27;s (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151791/volunteer-client-services-manager-coordinator-s-not-for-profit-charity-community-consultants-
26/9/20,Volunteer General Manager and Team Leaders/Supervisors (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151803/volunteer-general-manager-and-team-leaders-supervisors-not-for-profit-charity-organisation-
26/9/20,Volunteer Finance Manager (CFO) &amp; Board Treasurer (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151798/volunteer-finance-manager-cfo-board-treasurer-not-for-profit-charity-community-consultants-
26/9/20,Crisis Aid Service - Volunteers Needed URGENTLY,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/140187/crisis-aid-service-volunteers-needed-urgently
26/9/20,Head of Product Innovation and Strategy,Pekelach Inc,https://www.volunteer.com.au/volunteering/154656/head-of-product-innovation-and-strategy
26/9/20,Volunteer Web Developer / Information &amp; Technology (ICT) Officer,The United Project,https://www.volunteer.com.au/volunteering/151841/volunteer-web-developer-information-technology-ict-officer
26/9/20,Volunteer Program Manager and Coordinator (Not-for-Profit &amp; Charity Consulting Organisation Program),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151840/volunteer-program-manager-and-coordinator-not-for-profit-charity-consulting-organisation-program-
26/9/20,Volunteer Information Security Analyst,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151839/volunteer-information-security-analyst
26/9/20,Volunteer IT (Information Technology) Consultant,List of organisations,https://www.volunteer.com.au/volunteering/151838/volunteer-it-information-technology-consultant
26/9/20,Volunteer IT (Information Technology) Manager,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151837/volunteer-it-information-technology-manager
26/9/20,"Volunteer Developer - Websites, Apps, Programmes, etc. (Not-for-Profit &amp; Charity Organisation)",Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151836/volunteer-developer-websites-apps-programmes-etc-not-for-profit-charity-organisation-
26/9/20,Volunteer Business Analyst &amp; Support Officer (Not-for-Profits &amp; Charities Organiations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151834/volunteer-business-analyst-support-officer-not-for-profits-charities-organiations-
26/9/20,Volunteer Business Consultant (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151833/volunteer-business-consultant-not-for-profit-charity-organisations-
26/9/20,Volunteer Management Accountant (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151831/volunteer-management-accountant-not-for-profit-charity-organisations-
26/9/20,Volunteer Organisation/Company Accountant (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151830/volunteer-organisation-company-accountant-not-for-profit-charity-organisations-
26/9/20,Volunteer Business Services Manager (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151829/volunteer-business-services-manager-not-for-profit-charity-organisation-
26/9/20,Volunteer Bookkeeper / Finance Officer/ Tax Agent (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151828/volunteer-bookkeeper-finance-officer-tax-agent-not-for-profit-charity-organisation-
26/9/20,Volunteer Relationships Development Officer/Manager (Not-for-Profits &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151827/volunteer-relationships-development-officer-manager-not-for-profits-charity-organisations-
26/9/20,Volunteer Editor &amp; Public Relations Officer (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151826/volunteer-editor-public-relations-officer-not-for-profit-charity-organisations-
26/9/20,Volunteer Policy Analyst (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151825/volunteer-policy-analyst-not-for-profit-charity-organisation-
26/9/20,Volunteer Customer Engagement Support Officer (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151823/volunteer-customer-engagement-support-officer-not-for-profit-charity-organisations-
26/9/20,Volunteer Employment Lawyer - Not-for-Profit/Charity/Governance/Adviser/Business/Strategy,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151821/volunteer-employment-lawyer-not-for-profit-charity-governance-adviser-business-strategy
26/9/20,Volunteer Family Lawyer - Not-for-Profit/Charity/Governance/Adviser/Business/Strategy,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151820/volunteer-family-lawyer-not-for-profit-charity-governance-adviser-business-strategy
26/9/20,Volunteer Solicitor - Not-for-Profit/Charity/Governance/Adviser/Business/Strategy,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151819/volunteer-solicitor-not-for-profit-charity-governance-adviser-business-strategy
26/9/20,Volunteer Legal Counsel - Not-for-Profit/Charity/Governance/Adviser/Business/Strategy,List of organisations,https://www.volunteer.com.au/volunteering/151818/volunteer-legal-counsel-not-for-profit-charity-governance-adviser-business-strategy
26/9/20,Volunteer Project Administrator (Not-for-Profit &amp; Charity Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151816/volunteer-project-administrator-not-for-profit-charity-organisation-
26/9/20,Volunteer Operations Coordinator and Leadership Officers (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151815/volunteer-operations-coordinator-and-leadership-officers-not-for-profit-charity-organisations-
26/9/20,Volunteer People &amp; Culture (Human Resources) Officer and Coordinator (NFP &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151814/volunteer-people-culture-human-resources-officer-and-coordinator-nfp-charity-organisations-
26/9/20,Volunteer People &amp; Culture (Human Resources) Administrator (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151813/volunteer-people-culture-human-resources-administrator-not-for-profit-charity-organisations-
26/9/20,Volunteer Executive Assistant to the CEO (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151812/volunteer-executive-assistant-to-the-ceo-not-for-profit-charity-organisations-
26/9/20,Volunteer Administration Officer/Manager (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151810/volunteer-administration-officer-manager-not-for-profit-charity-organisations-
26/9/20,Volunteer Change Manager (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151808/volunteer-change-manager-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Sustainability Officer (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151807/volunteer-sustainability-officer-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Policy &amp; Procedures Officer/Adviser (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151806/volunteer-policy-procedures-officer-adviser-not-for-profit-charity-organisations-
26/9/20,Volunteer Policy Manager (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151805/volunteer-policy-manager-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Management Consultant (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151804/volunteer-management-consultant-not-for-profit-charity-organisations-
26/9/20,Volunteer Community Development Officer (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151802/volunteer-community-development-officer-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Chief Financial Officer &amp; Finance Manager (CFO) (Not-for-Profit &amp; Charity Organisations),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151801/volunteer-chief-financial-officer-finance-manager-cfo-not-for-profit-charity-organisations-
26/9/20,Volunteer Support Officer (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151800/volunteer-support-officer-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Communications and Administration Officer (Not-for-Profit &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151799/volunteer-communications-and-administration-officer-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Business Development Manager (Not-for-Profit &amp; Charity Community Consultants),List of organisations,https://www.volunteer.com.au/volunteering/151797/volunteer-business-development-manager-not-for-profit-charity-community-consultants-
26/9/20,Volunteer Principal Lawyer/Legal Counsel &amp; Legal Advisers (NFP &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151795/volunteer-principal-lawyer-legal-counsel-legal-advisers-nfp-charity-community-consultants-
26/9/20,Volunteer Organisation Relationships Development Manager (NFP &amp; Charity Community Consultants),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151790/volunteer-organisation-relationships-development-manager-nfp-charity-community-consultants-
26/9/20,Volunteer Lawyer - Not-for-Profit/Charity/Governance/Adviser/Business/Strategy,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151817/volunteer-lawyer-not-for-profit-charity-governance-adviser-business-strategy
26/9/20,"Volunteer Business Support, Development and Strategy Officer (NFP &amp; Charity Organisations)",Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151811/volunteer-business-support-development-and-strategy-officer-nfp-charity-organisations-
26/9/20,"Volunteer Web, Websites. Graphic Designers (Not-for-Profit &amp; Charity Organisations)",Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151809/volunteer-web-websites-graphic-designers-not-for-profit-charity-organisations-
26/9/20,Volunteer Board Secretary &amp; Directors (NFP &amp; Charity Community Consultants Indigenous Corporation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/151794/volunteer-board-secretary-directors-nfp-charity-community-consultants-indigenous-corporation-
26/9/20,Policy Manager (Not-for-Profit &amp; Charity Community Justice Organisation,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/152689/policy-manager-not-for-profit-charity-community-justice-organisation
26/9/20,Policy Officer (Not-for-Profit &amp; Charity Community Justice Organisation,Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/152688/policy-officer-not-for-profit-charity-community-justice-organisation
26/9/20,Organisations Relationships Manager (Not-for-Profit &amp; Charity Community Justice Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/152687/organisations-relationships-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,Financial Planner (Not-for-Profit &amp; Charity Community Justice Organisation),Not-for-Profit &amp; Charity Community Consultants Indigenous Corporation | Diversity Inclusion Charity,https://www.volunteer.com.au/volunteering/152686/financial-planner-not-for-profit-charity-community-justice-organisation-
26/9/20,Compliance Officer (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152685/compliance-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Client Services Officer (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152684/client-services-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Customer Service Representative (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152683/customer-service-representative-not-for-profit-charity-community-justice-organisation-
26/9/20,Customer Support Officer (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152682/customer-support-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Community Justice Officer (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152681/community-justice-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Digital Designer (Not-for-Profit &amp; Charity Community Justice Organisation),List of organisations,https://www.volunteer.com.au/volunteering/152680/digital-designer-not-for-profit-charity-community-justice-organisation-
26/9/20,Graphic Designer (Not-for-Profit &amp; Charity Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152679/graphic-designer-not-for-profit-charity-community-justice-organisation-
26/9/20,Work Health and Safety (WHS &amp; OHS) Officer - Not-for-Profit &amp; Charity Community Justice Organisation,Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152678/work-health-and-safety-whs-ohs-officer-not-for-profit-charity-community-justice-organisation
26/9/20,Recruitment Coordinator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152677/recruitment-coordinator-not-for-profit-charity-community-justice-organisation-
26/9/20,Recruitment Consultant (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152676/recruitment-consultant-not-for-profit-charity-community-justice-organisation-
26/9/20,Human Resources Officer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152675/human-resources-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Human Resources Manager (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152674/human-resources-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,Human Resources Coordinator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152673/human-resources-coordinator-not-for-profit-charity-community-justice-organisation-
26/9/20,Human Resources Adviser (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152672/human-resources-adviser-not-for-profit-charity-community-justice-organisation-
26/9/20,Social Media Officer &amp; Manager (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152671/social-media-officer-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,Public Relations Officer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152670/public-relations-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Marketing Coordinator &amp; Manager (Not-for-Profit &amp; Charity - Community Justice Organisatiion),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152669/marketing-coordinator-manager-not-for-profit-charity-community-justice-organisatiion-
26/9/20,Events Coordinator &amp; Manager (Not-for-Profit &amp; Charity - Community Justice Organisati,Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152668/events-coordinator-manager-not-for-profit-charity-community-justice-organisati
26/9/20,Digital Marketing Officer &amp; Manager (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152667/digital-marketing-officer-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,Communications Adviser (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152666/communications-adviser-not-for-profit-charity-community-justice-organisation-
26/9/20,Service Coordinator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152665/service-coordinator-not-for-profit-charity-community-justice-organisation-
26/9/20,Organisation Board Secretary (Not-for-Profit &amp; Charity - Community Justice Organisation),List of organisations,https://www.volunteer.com.au/volunteering/152664/organisation-board-secretary-not-for-profit-charity-community-justice-organisation-
26/9/20,Human Resources Administrator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152663/human-resources-administrator-not-for-profit-charity-community-justice-organisation-
26/9/20,Administration Officer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152662/administration-officer-not-for-profit-charity-community-justice-organisation-
26/9/20,Administration Officer &amp; Manager (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152661/administration-officer-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,Web Developer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152660/web-developer-not-for-profit-charity-community-justice-organisation-
26/9/20,Web Designer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152659/web-designer-not-for-profit-charity-community-justice-organisation-
26/9/20,Program Coordinator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152658/program-coordinator-not-for-profit-charity-community-justice-organisation-
26/9/20,IT Manager (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152656/it-manager-not-for-profit-charity-community-justice-organisation-
26/9/20,IT Consultant (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152655/it-consultant-not-for-profit-charity-community-justice-organisation-
26/9/20,Database Developer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152654/database-developer-not-for-profit-charity-community-justice-organisation-
26/9/20,Database Administrator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152653/database-administrator-not-for-profit-charity-community-justice-organisation-
26/9/20,Business Consultant (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152651/business-consultant-not-for-profit-charity-community-justice-organisation-
26/9/20,Solicitor/Lawyer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152650/solicitor-lawyer-not-for-profit-charity-community-justice-organisation-
26/9/20,Pro-Bono Lawyer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152649/pro-bono-lawyer-not-for-profit-charity-community-justice-organisation-
26/9/20,In-House Lawyer/Legal Counsel (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152648/in-house-lawyer-legal-counsel-not-for-profit-charity-community-justice-organisation-
26/9/20,Family Lawyer (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152647/family-lawyer-not-for-profit-charity-community-justice-organisation-
26/9/20,Employment Lawyer (Not-for-Profit &amp; Charity - Community Justice Organisation),List of organisations,https://www.volunteer.com.au/volunteering/152646/employment-lawyer-not-for-profit-charity-community-justice-organisation-
26/9/20,Director/Board Member (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152645/director-board-member-not-for-profit-charity-community-justice-organisation-
26/9/20,Welfare Worker (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152644/welfare-worker-not-for-profit-charity-community-justice-organisation-
26/9/20,Youth Worker (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152643/youth-worker-not-for-profit-charity-community-justice-organisation-
26/9/20,Support Worker (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152642/support-worker-not-for-profit-charity-community-justice-organisation-
26/9/20,Support Coordinator (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152641/support-coordinator-not-for-profit-charity-community-justice-organisation-
26/9/20,Mental Health Support Worker (Not-for-Profit &amp; Charity - Community Justice Organisation),Diverse Communities and Social Services Australia Inc. (DCSS Australia Inc.),https://www.volunteer.com.au/volunteering/152640/mental-health-support-worker-not-for-profit-charity-community-justice-organisation-
